username,timestamp,cpu,ram,disco
Thiago,2026-08-20 11:03:49,14.1,71.4,65.8
Thiago,2026-08-20 11:03:59,7.7,71.5,65.8
Thiago,2026-08-20 11:04:09,8.9,71.4,65.8
Thiago,2026-08-20 11:04:19,3.9,72.7,65.8
Thiago,2026-08-20 11:04:29,10.2,72.2,65.8
Thiago,2026-08-20 11:04:39,88.5,77.0,65.8
Thiago,2026-08-20 11:04:49,39.2,78.2,65.8
Thiago,2026-08-20 11:04:59,27.1,79.0,65.8
Thiago,2026-08-20 11:05:09,59.8,79.5,65.8
Thiago,2026-08-20 11:05:19,22.3,79.9,65.8
Thiago,2026-08-20 11:05:29,44.4,78.2,65.8
Thiago,2026-08-20 11:05:39,4.3,77.4,65.8
Thiago,2026-08-20 11:05:49,5.8,77.3,65.8
Thiago,2026-08-20 11:05:59,14.2,76.8,65.8
Thiago,2026-08-20 11:06:09,7.3,76.8,65.8
Thiago,2026-08-20 11:06:19,9.6,76.8,65.8
Thiago,2026-08-20 11:06:29,17.8,77.0,65.8
Thiago,2026-08-20 11:06:39,5.5,77.2,65.8
Thiago,2026-08-20 11:06:49,4.6,77.0,65.8
Thiago,2026-08-20 11:06:59,4.3,77.0,65.8
Thiago,2026-08-20 11:07:09,4.2,76.9,65.8
Thiago,2026-08-20 11:07:19,4.7,76.9,65.8
Thiago,2026-08-20 11:07:29,78.8,79.5,65.8
Thiago,2026-08-20 11:07:39,5.8,76.3,65.8
Thiago,2026-08-20 11:07:49,5.1,76.5,65.8
Thiago,2026-08-20 11:07:59,5.8,75.6,65.8
Thiago,2026-08-20 11:08:09,3.5,75.4,65.8
Thiago,2026-08-20 11:08:19,3.9,75.5,65.8
Thiago,2026-08-20 11:08:29,2.7,73.4,65.8
Thiago,2026-08-20 11:08:39,8.1,73.5,65.8
Thiago,2026-08-20 11:08:49,7.8,73.0,65.8
Thiago,2026-08-20 11:08:59,5.8,73.0,65.8
Thiago,2026-08-20 11:09:09,11.0,72.9,65.8
Thiago,2026-08-20 11:09:19,5.8,72.8,65.8
Thiago,2026-08-20 11:09:29,6.1,72.8,65.8
Thiago,2026-08-20 11:09:39,8.1,72.8,65.8
Thiago,2026-08-20 11:09:49,11.7,72.8,65.8
Thiago,2026-08-20 11:09:59,6.2,72.8,65.8
Thiago,2026-08-20 11:10:09,8.1,72.8,65.8
Thiago,2026-08-20 11:10:19,6.6,72.3,65.8
Thiago,2026-08-20 11:10:29,5.4,72.3,65.8
Thiago,2026-08-20 11:10:39,6.9,72.3,65.8
Thiago,2026-08-20 11:10:49,12.3,72.2,65.8
Thiago,2026-08-20 11:10:59,8.2,72.2,65.8
Thiago,2026-08-20 11:11:09,5.0,72.2,65.8
Thiago,2026-08-20 11:11:19,3.1,72.4,65.8
Thiago,2026-08-20 11:11:29,9.3,72.5,65.8
Thiago,2026-08-20 11:11:39,5.0,75.2,65.8
Thiago,2026-08-20 11:11:49,9.6,75.0,65.8
Thiago,2026-08-20 11:11:59,5.0,74.9,65.8
Thiago,2026-08-20 11:12:09,9.6,74.5,65.8
Thiago,2026-08-20 11:13:34,100.0,76.5,65.8
Thiago,2026-08-20 11:13:44,83.7,76.8,65.8
Thiago,2026-08-20 11:13:54,23.2,76.5,65.8
Thiago,2026-08-20 11:14:04,50.6,76.3,65.8
Thiago,2026-08-20 11:14:14,52.3,76.2,65.8
