username,timestamp,cpu,ram,disco
Nicole,2026/08/20 12:07:49,23.7,87.0,63.1
Nicole,2026/08/20 12:07:59,7.5,87.3,63.1
Nicole,2026/08/20 12:08:09,4.3,85.8,63.1
Nicole,2026/08/20 12:08:19,4.2,85.6,63.1
Nicole,2026/08/20 12:08:29,4.5,85.6,63.1
Nicole,2026/08/20 12:08:39,6.0,85.6,63.1
Nicole,2026/08/20 12:08:49,8.2,85.8,63.1
Nicole,2026/08/20 12:08:59,5.8,86.3,63.1
Nicole,2026/08/20 12:09:09,7.3,86.3,63.1
Nicole,2026/08/20 12:09:19,7.9,85.7,63.1
Nicole,2026/08/20 12:09:29,6.8,85.1,63.1
Nicole,2026/08/20 12:09:39,8.4,85.3,63.1
Nicole,2026/08/20 12:09:49,3.3,85.1,63.1
Nicole,2026/08/20 12:09:59,5.7,85.1,63.1
Nicole,2026/08/20 12:10:09,6.2,85.9,63.1
Nicole,2026/08/20 12:10:19,5.3,84.7,63.1
Nicole,2026/08/20 12:10:29,6.2,85.5,63.1
Nicole,2026/08/20 12:10:39,5.5,85.4,63.1
Nicole,2026/08/20 12:10:49,4.8,85.4,63.1
Nicole,2026/08/20 12:10:59,12.5,84.2,63.1
Nicole,2026/08/20 12:11:09,5.2,84.4,63.1
Nicole,2026/08/20 12:11:19,5.7,84.4,63.1
Nicole,2026/08/20 12:11:29,9.5,84.4,63.1
Nicole,2026/08/20 12:11:39,6.2,84.4,63.1
Nicole,2026/08/20 12:11:49,6.5,84.4,63.1
Nicole,2026/08/20 12:11:59,19.7,86.2,63.1
Nicole,2026/08/20 12:12:09,3.9,85.4,63.1
Nicole,2026/08/20 12:12:19,19.9,87.7,63.1
Nicole,2026/08/20 12:12:29,52.0,88.6,63.1
Nicole,2026/08/20 12:12:39,16.2,90.0,63.1
Nicole,2026/08/20 12:12:49,34.6,92.7,63.1
Nicole,2026/08/20 12:12:59,8.5,89.2,63.1
Nicole,2026/08/20 12:13:09,28.8,93.4,63.1
Nicole,2026/08/20 12:13:19,41.2,92.6,63.2
Nicole,2026/08/20 12:13:29,4.4,91.6,63.1
Nicole,2026/08/20 12:13:39,3.1,89.5,63.1
Nicole,2026/08/20 12:13:49,4.2,89.6,63.1
Nicole,2026/08/20 12:13:59,14.8,89.1,63.1
Nicole,2026/08/20 12:14:09,5.4,89.2,63.1
Nicole,2026/08/20 12:14:19,12.9,89.8,63.1
Nicole,2026/08/20 12:14:29,15.2,90.7,63.1
Nicole,2026/08/20 12:14:39,12.3,91.9,63.1
