username,timestamp,cpu,ram,disco
Vinicius,2026-08-20 11:16:46,48.6,90.3,27.3
Vinicius,2026-08-20 11:16:56,10.7,88.5,27.3
Vinicius,2026-08-20 11:17:06,10.7,90.2,27.3
Vinicius,2026-08-20 11:17:16,16.0,89.9,27.3
Vinicius,2026-08-20 11:17:26,9.9,91.0,27.3
Vinicius,2026-08-20 11:17:36,5.4,91.3,27.3
Vinicius,2026-08-20 11:17:46,9.8,91.4,27.3
Vinicius,2026-08-20 11:17:56,8.1,91.3,27.3
Vinicius,2026-08-20 11:18:06,7.6,90.8,27.3
Vinicius,2026-08-20 11:18:16,12.3,89.3,27.3
Vinicius,2026-08-20 11:18:26,8.8,89.5,27.3
Vinicius,2026-08-20 11:18:36,7.3,89.6,27.3
Vinicius,2026-08-20 11:18:46,15.0,89.2,27.3
Vinicius,2026-08-20 11:18:56,9.4,89.8,27.3
Vinicius,2026-08-20 11:19:06,5.7,90.3,27.3
Vinicius,2026-08-20 11:19:16,3.3,90.2,27.3
Vinicius,2026-08-20 11:19:26,18.2,86.4,27.3
Vinicius,2026-08-20 11:19:36,3.0,86.6,27.3
Vinicius,2026-08-20 11:19:46,8.3,87.4,27.3
Vinicius,2026-08-20 11:19:56,13.2,86.8,27.3
Vinicius,2026-08-20 11:20:06,18.6,83.9,27.3
Vinicius,2026-08-20 11:20:16,8.7,83.8,27.3
Vinicius,2026-08-20 11:20:26,3.1,83.9,27.3
Vinicius,2026-08-20 11:20:36,2.1,83.6,27.3
Vinicius,2026-08-20 11:20:46,1.0,83.6,27.3
Vinicius,2026-08-20 11:20:56,2.3,83.7,27.3
Vinicius,2026-08-20 11:21:06,1.8,83.8,27.3
Vinicius,2026-08-20 11:21:16,6.7,83.7,27.3
Vinicius,2026-08-20 11:21:26,3.2,83.5,27.3
Vinicius,2026-08-20 11:21:36,4.3,83.6,27.3
Vinicius,2026-08-20 11:21:46,12.8,85.3,27.3
Vinicius,2026-08-20 11:21:56,11.7,84.5,27.3
Vinicius,2026-08-20 11:22:06,1.5,83.6,27.3
Vinicius,2026-08-20 11:22:16,0.6,83.2,27.3
Vinicius,2026-08-20 11:22:26,1.3,83.3,27.3
Vinicius,2026-08-20 11:22:36,3.6,83.4,27.3
Vinicius,2026-08-20 11:22:46,0.9,83.3,27.3
Vinicius,2026-08-20 11:22:56,0.5,83.3,27.3
Vinicius,2026-08-20 11:23:06,1.9,82.0,27.3
Vinicius,2026-08-20 11:23:16,1.6,82.0,27.3
Vinicius,2026-08-20 11:23:26,1.1,81.8,27.3
Vinicius,2026-08-20 11:23:36,2.1,82.2,27.3
Vinicius,2026-08-20 11:23:46,6.4,81.9,27.3
Vinicius,2026-08-20 11:23:56,0.7,82.1,27.3
Vinicius,2026-08-20 11:24:06,0.2,82.0,27.3
Vinicius,2026-08-20 11:24:16,0.6,81.9,27.3
Vinicius,2026-08-20 11:24:26,8.6,80.6,27.3
Vinicius,2026-08-20 11:24:36,0.9,80.7,27.3
Vinicius,2026-08-20 11:24:46,0.7,80.8,27.3
Vinicius,2026-08-20 11:24:56,0.5,80.7,27.3
Vinicius,2026-08-20 11:25:06,0.3,81.3,27.3
Vinicius,2026-08-20 11:25:16,1.1,81.4,27.3
Vinicius,2026-08-20 11:25:26,0.9,81.5,27.3
Vinicius,2026-08-20 11:25:36,2.1,81.5,27.3
Vinicius,2026-08-20 11:25:46,0.9,81.7,27.3
Vinicius,2026-08-20 11:25:56,0.9,81.7,27.3
Vinicius,2026-08-20 11:26:06,1.4,81.7,27.3
Vinicius,2026-08-20 11:26:16,1.3,81.8,27.3
Vinicius,2026-08-20 11:26:26,6.0,81.7,27.3
Vinicius,2026-08-20 11:26:36,1.2,81.7,27.3
Vinicius,2026-08-20 11:26:46,7.4,83.4,27.3
Vinicius,2026-08-20 11:26:56,0.8,83.9,27.3
Vinicius,2026-08-20 11:27:06,0.2,83.8,27.3
Vinicius,2026-08-20 11:27:16,2.6,83.7,27.3
Vinicius,2026-08-20 12:04:11,72.7,93.3,27.3
Vinicius,2026-08-20 12:04:21,12.0,87.2,27.3
Vinicius,2026-08-20 12:04:31,10.7,87.3,27.3
Vinicius,2026-08-20 12:04:41,11.5,86.2,27.3
Vinicius,2026-08-20 12:04:51,3.0,85.4,27.3
Vinicius,2026-08-20 12:05:01,14.0,85.4,27.3
Vinicius,2026-08-20 12:05:11,20.2,92.6,27.3
Vinicius,2026-08-20 12:05:21,3.7,93.0,27.3
Vinicius,2026-08-20 12:06:22,18.5,92.8,27.3
Vinicius,2026-08-20 12:06:32,18.7,94.3,27.3
Vinicius,2026-08-20 12:06:42,26.7,95.1,27.3
Vinicius,2026-08-20 12:06:52,15.5,92.9,27.3
Vinicius,2026-08-20 12:07:02,16.3,95.4,27.3
Vinicius,2026-08-20 12:07:12,5.0,93.7,27.3
Vinicius,2026-08-20 12:07:22,7.9,93.6,27.3
Vinicius,2026-08-20 12:07:32,7.0,93.7,27.3
Vinicius,2026-08-20 12:07:42,15.1,90.7,27.3
Vinicius,2026-08-20 12:07:52,14.6,93.7,27.3
Vinicius,2026-08-20 12:08:02,18.7,92.1,27.3
Vinicius,2026-08-20 12:08:12,5.3,92.4,27.3
Vinicius,2026-08-20 12:08:22,6.7,90.9,27.3
Vinicius,2026-08-20 12:08:32,23.4,92.2,27.3
Vinicius,2026-08-20 12:08:42,7.5,92.2,27.3
Vinicius,2026-08-20 12:08:52,33.7,92.4,27.3
Vinicius,2026-08-20 12:09:02,20.6,94.3,27.3
Vinicius,2026-08-20 12:09:12,33.6,95.0,27.3
